UserScreenName,UserName,Timestamp,Text,Embedded_text,Comments,Likes,Retweets,text_length,Embedded_text_cleaned
Hulises,@HugoMor15355236,2021-12-09 19:39:11+00:00,"Hulises
@HugoMor15355236
·
9 dic.","Buenas tardes Sr Alcalde :. En el Banco Davivienda al frente del Parque Fundadores una de las rejillas de protección de la alcantarilla está rota lo cual representa un peligro para cualquier transeúnte.. muchas gracias por su atención..
José Manuel Ríos
@joseriosalcalde
 · 9 dic.
Seguimos escuchando a los cuyabros, en esta ocasión, en los barrios  Antonio Nariño y Gibraltar. 

Es compartiendo con ustedes y trabajando juntos y con nuestros secretarios, que podemos comprender mejor sus problemáticas y encontrar soluciones oportunas.

#EsPaTodos",0,0,0,548,tarde   alcalde      frente   parque fundadores     rejilla   protección    alcantarilla rota   representar   peligro transeúnte gracia    atención josé manuel ríos joseriosalcalde    seguir escuchar    cuyabro   ocasión    barrio antonio nariño   gibraltar   compartir     trabajar junto    secretario   comprender   problemático   encontrar solución oportuno espatodo
Bibi HCDO,@bibihercastro,2021-12-09 17:45:41+00:00,"Bibi HCDO
@bibihercastro
·
9 dic.","Normalmente me gusta 
@Davivienda
 pero días como hoy solo quiero matarlos. 
1
1",1,0,1,80,normalmente   gusta   querer matarlo  
Leo,@Pata_Leo,2021-12-09 13:30:03+00:00,"Leo
@Pata_Leo
·
9 dic.","Y Alfredo Saade fue lo más Davivienda en ese debate, completamente en el lugar equivocado.
3",0,0,3,92,  alfredo saadir        debate completamente    lugar equivocado
Sandra Guinand,@GuinandSandra,2021-12-09 19:50:31+00:00,"Sandra Guinand
@GuinandSandra
·
9 dic.","Sigo esperando a que 
@Davivienda
 me pague mi bono del debitazo! Publicidad engañosa, cumplí con todos los requisitos y se hacen los locos para pagar. Llevo un mes de asesor en asesor y nadie resuelve. 
@SFCsupervisor
1
1
2",1,1,2,224,seguir esperar      pagar   bono   debitazo publicidad engañoso cumplir     requisito      loco pagar llevo     asesor   asesor   resolver sfcsupervisor   
Diario El País,@elpaishn,2021-12-09 20:59:06+00:00,"Diario El País
@elpaishn
·
9 dic.","Davivienda Honduras gana premio LatamDigital 2021 en la categoría Liderazgo y Desempeño Digital http://dlvr.it/SF4N2T
2",0,2,0,119,honduras ganar premio latamdigital 2021    categoría liderazgo   desempeño digital
Juan Ferro ,@jota__ferro,2021-12-09 20:41:55+00:00,"Juan Ferro 
@jota__ferro
·
9 dic.","@Davivienda
 a ver si aprenden un poquito de 
@nubank
1",1,0,0,55,      aprender   poquito   nubank
𝙴𝚕 𝙳𝚒𝚊𝚋𝚕𝚘,@Berzota,2021-12-09 22:00:52+00:00,"𝙴𝚕 𝙳𝚒𝚊𝚋𝚕𝚘
@Berzota
·
9 dic.","Nuevamente otra situación con Davivienda! Aparte de que se ""Bloquea"" la ecard y demás! Ahora los ladrones REGISTRAN LA TARJETA EN PÁGINAS! Mi nombre y otros datos están comprometidos! 
@SFCsupervisor
 @CGR_Colombia
 por favor! Ya son 2 semanas pidiendo ayuda con este tema!
1",1,0,0,275,nuevamente situación   aparte     bloquea   ecard     ladrón registrar   tarjeta   página   nombre   dato comprometido sfcsupervisor cgr_colombio   favor     semana pedir ayuda   tema
KAREN TORRES,@_karento,2021-12-09 16:14:27+00:00,"KAREN TORRES
@_karento
·
9 dic.","A mi me llega el sueldo, y es fijo que en seguida 
@Davivienda
 me empieza a llamar y a enviar 300 mensajes de texto a ofrecerme cuanta maricada se le ocurre y créditos de 2 minuto/ de demora. Que pereza de verdad, ni que yo no tuviera ya suficiente gastos.
1",1,0,0,259,    llegar   sueldo    fijo    seguido   empezar   llamar    enviar   mensaje   texto   ofrecerme maricado    ocurrir   crédito    minuto   demoro   perecer        tener   suficiente gasto
purrunderito Lu,@luisnunezz,2021-12-09 01:10:55+00:00,"purrunderito Lu
@luisnunezz
·
8 dic.","En respuesta a 
@YeiMosquera
el proprio davivienda
1
1",1,0,1,54,    yeimosquero   proprio  
Jolman Gomez,@jolmangomez,2021-12-09 13:04:26+00:00,"Jolman Gomez
@jolmangomez
·
9 dic.","Qué pasa con el portal web de 
@Davivienda
 que no está dejando iniciar sesión ?
1",1,0,0,82,  pasar    portal       dejar iniciar sesión
Karen Tralara,@KarenTralara,2021-12-09 19:40:50+00:00,"Karen Tralara
@KarenTralara
·
9 dic.","Señores 
@Davivienda
 qué pasa que ningún canal virtual funciona, ni portal, ni aplicación. Nada de nada.
1",1,0,0,107,señor   pasar   canal virtual funcionar   portal   aplicación  
DATAiFX,@dataiFX,2021-12-09 13:14:12+00:00,"DATAiFX
@dataiFX
·
9 dic.","#LiveDataiFX Lo que hoy debe saber I Davivienda Corredores https://bit.ly/3lRoEDU Por 
@davicorredores
 #LoQueHoyDebeSaber
1
2",0,1,2,126,  livedataifx       corredor   davicorredor loquehoydebesaber  
Felipe Ruiz,@Felipe_Ruiz10,2021-12-09 18:33:00+00:00,"Felipe Ruiz
@Felipe_Ruiz10
·
9 dic.","Señores 
@Davivienda
 no ha sido posible ingresar a la App con mi usuario, existe algún problema? Adicionalmente, no he podido pagar mi TC mediante canales virtuales, porque indica que tengo una transacción pendiente. Ayuda por favor!!!
1",1,0,0,238,señor    ingresar       usuario problema adicionalmente    poder pagar    canal virtual indicar     transacción pendiente ayuda   favor
Andrés Posada,@APosadaO3,2021-12-09 20:23:54+00:00,"Andrés Posada
@APosadaO3
·
9 dic.","En respuesta a 
@andresmania
Hoy cerraron a la baja Grupo Bolivar, BVC, Pf Davivienda, ISA, Pf Aval, Ecopetrol, Corficol, Mineros, entre otras…
1
1
2",1,1,2,149,    andresmania   cerrar    bajo grupo bolivar       aval ecopetrol corficol mineros   
Mel Cardona,@MelCardonArdila,2021-12-09 16:16:31+00:00,"Mel Cardona
@MelCardonArdila
·
9 dic.","Muy malito el servicio de 
@Davivienda
 para la apertura de una nueva cuenta. Que asesores tan regulares.
1
1",1,1,0,109,  malito   servicio     apertura      asesor   regular  
Camilo.,@Caanve_,2021-12-09 14:32:13+00:00,"Camilo.
@Caanve_
·
9 dic.","Que basura 
@Davivienda
 no permite hacer transacciones a brokers de trading ni operaciones de crypto. 

¿En qué siglo están?
1",1,0,0,127,  basura   permitir transacción   brokers   trading   operación   crypto    siglo
PauLi,@Pauli_mB_,2021-12-09 15:48:13+00:00,"PauLi
@Pauli_mB_
·
9 dic.","En respuesta a 
@memisfranco
Bebe, te lo he dicho estas como davivienda, aqui todas son grandotas 
1
1",1,0,1,102,    memisfranco beber       grandota  
Melissa,@mehersa_,2021-12-09 17:12:36+00:00,"Melissa
@mehersa_
·
9 dic.","En respuesta a 
@YefryLopez6
Davivienda, a las 6:01 ya no te atienden 
1
1",1,0,1,74,    yefrylopez6         atender  
Ismael Muñoz - Junior,@jrmunozjimenez,2021-12-09 18:03:57+00:00,"Ismael Muñoz - Junior
@jrmunozjimenez
·
9 dic.","Señores 
@Davivienda
: increíble que en una oficina tan concurrida como la del 
@plazacentralccb
, en una época del año como está, no tengan sino 1 solo asesor de servicio al cliente. Las filas son interminables y no se ve mejoría.
1",1,0,0,233,señor increíble     oficinar   concurrido    plazacentralccb    época      tener   asesor   servicio   cliente   fila   interminable      mejoría
@she-wolf,@she-wolf,2021-12-09 20:46:14+00:00,"@she-wolf
@sheilawolfville
·
9 dic.","¿Cómo hago para que 
@Davivienda
 deje de llamar al número fijo de la casa y una grabación me diga que pague mis obligaciones, cuando no tengo producto alguno con el banco? 
@SFCsupervisor
1",1,0,0,190,    dejar   llamar   número fijo    casa    grabación   decir   pagar   obligación   producto    sfcsupervisor
Jairo Cassiani,@jairocassiani,2021-12-09 15:53:04+00:00,"Jairo Cassiani
@jairocassiani
·
9 dic.","@Davivienda
 llevo 8 días  intento ingresar a la App y no me deja Que fallas  presenta la app gracias!
1
1",1,0,1,106,  llevar   intentar ingresar        dejar   falla presentar    gracias  
Rodrigo Alvarado Cai,@rodrigoalvaradc,2021-12-09 22:11:08+00:00,"Rodrigo Alvarado Cai
@rodrigoalvaradc
·
9 dic.","En respuesta a 
@Davivienda
Pensando en una solución por mi parte, cambio de aparato móvil, operador y red de datos; no lee las huellas, ese es un error que presenta el app hace ya un tiempo.",0,0,0,191,    pensar    solución    cambio   aparato móvil operador     dato     huella     error   presentar       tiempo
Angela de Marte,@angelamars,2021-12-09 12:13:11+00:00,"Angela de Marte
@angelamars
·
9 dic.","En respuesta a 
@Catalba
Está como el niño del comercial de Davivienda 
4",0,0,4,73,    catalba   niño   comercial  
Gloria Rodriguez B,@GloRodrineche,2021-12-09 17:25:37+00:00,"Gloria Rodriguez B
@GloRodrineche
·
9 dic.","En respuesta a 
@Davivienda
 y 
@JohanUlloaA
#daviviendaCaida sí señor, hace rato estoy intentando entrar al portal digital y no funciona (jueves 9 de diciembre 2021, 12:25 del medio día)
1",0,0,1,189,      johanulloaa daviviendacaido   señor rato intentar entrar   portal digital    funcionar    diciembre 2021      
Daniella Viñas,@daniellavinas10,2021-12-09 14:20:36+00:00,"Daniella Viñas
@daniellavinas10
·
9 dic.","@Davivienda
 no sirve la app???
1",1,0,0,33,    servir   
Gomez ن †,@sergiogomezf,2021-12-09 17:59:01+00:00,"Gomez ن †
@sergiogomezf
·
9 dic.","En respuesta a 
@Davivienda
Ya les envié el DM",0,0,0,46,       enviar  
Sandra Guinand,@GuinandSandra,2021-12-09 20:05:11+00:00,"Sandra Guinand
@GuinandSandra
·
9 dic.","En respuesta a 
@Davivienda
Falso!!Por interno tampoco me resolvieron nada!! Cuánto tiempo necesitan para verificar un extracto? Dejen de jugar con los clientes 
@SFCsupervisor",0,0,0,176,    falso   interno   resolver tiempo necesitar verificar   extracto dejar   jugar    cliente sfcsupervisor
john jairo,@johnjai77,2021-12-09 20:26:18+00:00,"john jairo
@johnjai77
·
9 dic.","@Davivienda
 señores, hay alguna oficina con horario adicional en bogota? Gracias
1",1,0,0,83,  señor   oficina   horario adicional   bogotar gracias
Nico valbuena,@nico_valbuena13,2021-12-09 20:08:51+00:00,"Nico valbuena
@nico_valbuena13
·
9 dic.","En respuesta a 
@julianac1987
Pero como le decimos a ese libro, Davivienda (?)  Jajajajajjaa  complete el sudoku para hacer un retiro.",0,0,0,134,    julianac1987   decimos    libro jajajajajjaa completir   sudoku   retiro
videorgánica,@videorganica1,2021-12-09 14:19:39+00:00,"videorgánica
@videorganica1
·
9 dic.","En respuesta a 
@Davivienda
Mensaje privado??? De verdad ?? 
1",1,0,0,62,    mensaje privado  
Nórida Rodríguez,@Noridaoficial,2021-12-09 23:15:25+00:00,"Nórida Rodríguez
@Noridaoficial
·
9 dic.","@Davivienda
 @Davivienda
 ¿Que pasa con el portal para clientes? 
1
1",1,0,1,69,    pasar    portal cliente  
